gene name_V4,NU0,NU4,NU8,NU12,NU16,NU20,NU24,NU28,NU32,NU36,NU40,NU44,NU48,NU52,NU56,NU60,NU64,NU68,NU72,NU78,NU84,NU90,NU96,NU102,NU108,NU114,NU120,NU126,NU132,NU138,NU144,em10,em12,em14,em16,em18,em20,em22,em24,em26,em28,em30,em32,em34,em36,em38,en6,en8,en10,en12,en14,en16,en18,en20,en22,en24,en26,en28,en30,en32,en34,en36,en38,s0,s2,s3,s4,s6,s8,s10,s12,s14,s16,s18,s20,s22,s24,s26,s28,s30,s32,s34,s36,s38,Anthers,Cob1,Cob2,Ear1,Ear2,Leaf1,Leaf2,Leaf3,Leaf4,Leaf5,Leaf6,Leaf7,Pollen,Roots,SAM1,SAM2,Shoots,Silk,Tassel1,Tassel2,Tassel3,Tassel4,Tassel5
Zm00001d030023,2.32 ,0.53 ,0.34 ,1.01 ,0.47 ,0.88 ,0.84 ,0.35 ,0.11 ,0.36 ,0.13 ,0.13 ,0.24 ,0.02 ,0.17 ,0.35 ,0.36 ,0.18 ,0.18 ,0.26 ,0.13 ,0.09 ,0.09 ,0.06 ,0.17 ,0.09 ,0.23 ,0.14 ,0.34 ,0.09 ,0.14 ,0.00 ,0.11 ,0.00 ,0.00 ,0.00 ,0.00 ,0.05 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.05 ,0.11 ,0.43 ,0.37 ,0.00 ,0.05 ,0.09 ,0.08 ,0.08 ,0.00 ,0.17 ,0.09 ,1.10 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.10 ,2.13 ,0.52 ,0.89 ,0.60 ,0.61 ,1.64 ,0.82 ,0.44 ,0.33 ,0.57 ,0.56 ,0.88 ,1.96 ,1.53 ,1.68 ,0.63 ,0.84 ,1.49 ,0.60 ,0.59 ,1.19 ,0.30 ,0.26 ,0.57 ,0.08 ,0.03 ,0.23 ,0.15 ,0.12 ,0.16 ,0.51 ,0.13 ,0.38 ,0.00 ,7.85 ,0.00 ,0.00 ,0.20 ,0.11 ,0.14 ,0.24 ,0.10 ,0.54 ,1.38 
Zm00001d049540,145.31 ,77.00 ,63.78 ,113.25 ,75.97 ,125.45 ,81.10 ,78.67 ,41.33 ,84.92 ,48.72 ,66.82 ,66.39 ,54.77 ,80.28 ,80.36 ,82.97 ,70.67 ,90.48 ,90.76 ,67.90 ,54.99 ,53.90 ,72.36 ,71.00 ,77.07 ,133.41 ,80.89 ,75.81 ,105.75 ,87.85 ,35.19 ,34.28 ,37.30 ,35.84 ,29.70 ,39.58 ,32.27 ,34.19 ,22.66 ,22.97 ,32.24 ,34.46 ,24.59 ,33.63 ,27.61 ,55.75 ,52.01 ,39.65 ,38.15 ,34.78 ,34.02 ,56.46 ,49.07 ,44.38 ,50.69 ,66.55 ,38.27 ,49.66 ,56.43 ,64.20 ,40.37 ,26.25 ,93.18 ,92.47 ,88.94 ,79.13 ,82.86 ,60.85 ,67.95 ,49.23 ,46.74 ,60.77 ,58.53 ,56.21 ,68.89 ,46.42 ,75.27 ,73.90 ,59.75 ,86.42 ,35.64 ,57.34 ,43.29 ,6.21 ,90.01 ,80.74 ,80.49 ,79.16 ,23.97 ,18.21 ,15.91 ,20.35 ,17.88 ,38.30 ,38.87 ,0.32 ,146.00 ,51.32 ,61.21 ,55.79 ,34.31 ,71.69 ,71.68 ,71.33 ,39.40 ,36.20 
Zm00001d040318,42.21 ,13.37 ,13.36 ,32.79 ,17.18 ,44.67 ,22.26 ,22.10 ,11.10 ,26.79 ,10.01 ,14.07 ,15.67 ,14.04 ,23.70 ,24.43 ,18.54 ,19.52 ,28.06 ,30.01 ,17.78 ,14.38 ,14.74 ,23.73 ,21.54 ,26.92 ,58.47 ,29.87 ,23.27 ,39.81 ,28.70 ,2.18 ,3.64 ,2.79 ,1.58 ,2.85 ,1.93 ,2.13 ,2.78 ,2.61 ,1.40 ,3.41 ,4.96 ,3.42 ,5.86 ,4.77 ,23.38 ,16.02 ,6.14 ,6.86 ,8.76 ,11.26 ,24.98 ,17.66 ,13.76 ,14.41 ,22.49 ,14.68 ,16.74 ,18.70 ,22.24 ,7.52 ,4.48 ,21.98 ,16.20 ,24.14 ,20.84 ,17.53 ,12.57 ,11.70 ,9.68 ,8.99 ,14.41 ,14.69 ,14.50 ,24.74 ,12.06 ,20.31 ,25.10 ,18.53 ,19.63 ,4.13 ,5.59 ,5.76 ,0.98 ,5.88 ,10.52 ,5.00 ,5.87 ,2.27 ,6.55 ,4.46 ,3.98 ,4.01 ,4.81 ,4.40 ,0.00 ,40.04 ,6.06 ,5.25 ,13.50 ,14.34 ,9.27 ,9.77 ,8.07 ,11.30 ,8.31 
Zm00001d034947,7.85 ,4.79 ,0.03 ,5.77 ,0.63 ,0.35 ,4.85 ,0.87 ,0.09 ,0.00 ,0.00 ,0.00 ,0.00 ,0.13 ,0.00 ,0.00 ,0.00 ,0.00 ,0.05 ,0.00 ,0.00 ,0.33 ,0.00 ,0.09 ,0.06 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.24 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.18 ,0.00 ,0.00 ,0.61 ,0.00 ,0.25 ,0.14 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.11 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,48.78 ,4.50 ,10.12 ,0.90 ,4.76 ,12.04 ,0.62 ,0.02 ,0.33 ,0.00 ,0.53 ,0.00 ,0.00 ,0.20 ,0.27 ,0.00 ,0.33 ,0.00 ,0.00 ,0.00 ,0.00 ,0.67 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.33 ,1.02 ,0.08 ,0.00 ,0.00 ,0.00 ,14.79 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.48 ,0.00 ,0.00 ,0.43 ,0.23 
Zm00001d016000,29.43 ,24.16 ,14.94 ,20.52 ,19.19 ,21.86 ,22.23 ,19.98 ,18.14 ,17.58 ,18.14 ,19.66 ,21.58 ,17.69 ,15.72 ,18.64 ,19.30 ,18.42 ,27.46 ,22.44 ,17.28 ,20.03 ,17.99 ,12.21 ,17.19 ,15.06 ,16.05 ,17.93 ,12.90 ,15.84 ,20.66 ,34.96 ,50.69 ,48.15 ,49.12 ,77.27 ,74.86 ,64.78 ,63.51 ,41.02 ,45.61 ,35.30 ,23.75 ,14.99 ,8.29 ,9.03 ,26.43 ,31.19 ,37.21 ,19.54 ,18.14 ,16.63 ,15.79 ,13.11 ,12.52 ,11.33 ,9.82 ,5.57 ,8.46 ,4.06 ,4.63 ,3.22 ,1.30 ,31.68 ,26.02 ,32.39 ,31.84 ,31.10 ,28.93 ,30.88 ,22.58 ,15.22 ,19.09 ,20.44 ,23.04 ,20.44 ,18.76 ,19.38 ,10.13 ,5.43 ,6.87 ,7.42 ,5.05 ,3.57 ,1.40 ,44.78 ,29.02 ,35.30 ,32.67 ,5.45 ,10.04 ,3.19 ,2.13 ,6.10 ,14.12 ,12.82 ,0.11 ,9.21 ,46.90 ,52.39 ,9.75 ,25.24 ,34.36 ,30.66 ,35.23 ,13.07 ,8.39 
Zm00001d012404,9.86 ,10.63 ,6.68 ,8.99 ,10.13 ,8.90 ,9.60 ,9.08 ,8.05 ,10.02 ,9.83 ,9.21 ,9.69 ,8.20 ,9.41 ,10.47 ,8.64 ,8.95 ,9.78 ,10.27 ,9.12 ,9.25 ,8.05 ,8.92 ,8.30 ,8.22 ,9.65 ,8.70 ,10.14 ,8.50 ,9.18 ,6.81 ,6.63 ,6.65 ,5.78 ,5.92 ,5.47 ,5.55 ,9.03 ,5.17 ,4.46 ,6.71 ,6.24 ,4.53 ,5.96 ,6.93 ,8.39 ,8.61 ,3.53 ,2.91 ,4.06 ,4.96 ,5.72 ,3.87 ,3.01 ,4.17 ,5.18 ,4.98 ,4.94 ,6.06 ,6.42 ,5.01 ,5.92 ,11.44 ,8.56 ,6.47 ,6.20 ,6.81 ,7.68 ,5.11 ,4.79 ,4.64 ,5.97 ,4.97 ,5.26 ,6.81 ,5.01 ,7.77 ,6.68 ,5.71 ,8.66 ,6.15 ,7.86 ,5.92 ,0.61 ,3.85 ,6.46 ,5.05 ,5.01 ,2.48 ,2.78 ,1.29 ,1.63 ,3.60 ,3.98 ,4.79 ,0.05 ,3.03 ,4.75 ,4.89 ,2.95 ,5.38 ,5.32 ,4.61 ,4.89 ,5.45 ,4.42 
Zm00001d026362,28.24 ,27.18 ,21.57 ,24.16 ,22.82 ,27.79 ,23.18 ,20.33 ,20.94 ,26.17 ,17.93 ,24.96 ,24.22 ,25.84 ,23.79 ,26.44 ,23.43 ,21.93 ,27.34 ,26.33 ,24.77 ,24.04 ,23.70 ,25.02 ,23.51 ,21.65 ,24.88 ,18.91 ,25.63 ,22.93 ,22.91 ,24.33 ,26.60 ,27.57 ,23.71 ,23.25 ,20.58 ,20.22 ,16.73 ,12.96 ,16.67 ,20.03 ,19.04 ,13.43 ,13.96 ,12.81 ,18.21 ,18.53 ,17.67 ,10.18 ,10.77 ,12.61 ,13.59 ,10.25 ,8.78 ,10.72 ,10.89 ,4.86 ,11.30 ,10.12 ,13.42 ,8.12 ,10.50 ,26.96 ,29.94 ,26.64 ,20.28 ,25.92 ,28.81 ,20.29 ,12.80 ,10.21 ,19.61 ,13.91 ,13.61 ,16.30 ,10.70 ,18.23 ,14.59 ,12.21 ,16.48 ,10.51 ,14.92 ,11.29 ,6.72 ,44.81 ,44.71 ,51.56 ,58.16 ,10.59 ,28.96 ,13.15 ,8.69 ,15.14 ,35.40 ,38.84 ,0.58 ,33.31 ,39.32 ,54.32 ,33.93 ,26.32 ,60.83 ,57.72 ,57.62 ,21.36 ,18.71 
Zm00001d022227,1.15 ,0.59 ,0.23 ,1.16 ,0.60 ,0.58 ,1.04 ,0.14 ,0.35 ,0.18 ,0.20 ,0.29 ,0.48 ,0.33 ,0.47 ,0.59 ,0.96 ,0.54 ,0.71 ,0.42 ,0.51 ,0.53 ,0.17 ,0.33 ,0.23 ,0.47 ,0.53 ,0.47 ,0.43 ,0.74 ,0.84 ,3.29 ,2.46 ,1.65 ,2.56 ,2.25 ,1.93 ,3.47 ,2.52 ,3.31 ,2.75 ,3.51 ,3.28 ,4.95 ,2.98 ,5.62 ,0.40 ,1.04 ,0.27 ,0.47 ,0.31 ,0.36 ,1.43 ,0.62 ,0.83 ,1.49 ,1.73 ,2.62 ,2.12 ,7.75 ,9.75 ,11.07 ,21.17 ,2.35 ,2.53 ,3.26 ,2.87 ,3.71 ,4.46 ,1.61 ,2.03 ,2.67 ,3.59 ,4.95 ,4.56 ,2.28 ,3.98 ,7.16 ,6.51 ,11.34 ,11.97 ,4.20 ,5.05 ,5.28 ,0.46 ,1.97 ,4.23 ,1.89 ,1.65 ,2.51 ,0.43 ,4.87 ,1.80 ,5.39 ,3.07 ,2.88 ,0.04 ,1.09 ,2.72 ,2.79 ,5.13 ,27.12 ,5.39 ,5.14 ,5.01 ,4.16 ,4.31 
Zm00001d051465,1.57 ,0.39 ,0.08 ,0.45 ,0.63 ,0.07 ,0.40 ,0.35 ,0.34 ,0.22 ,0.18 ,0.10 ,0.06 ,0.12 ,0.09 ,0.15 ,0.20 ,0.17 ,0.44 ,0.10 ,0.28 ,0.23 ,0.28 ,0.33 ,0.30 ,0.00 ,0.23 ,0.10 ,0.07 ,0.06 ,0.46 ,0.00 ,0.00 ,0.08 ,0.00 ,0.00 ,0.00 ,0.07 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.05 ,0.00 ,0.00 ,0.00 ,0.12 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,18.22 ,9.26 ,6.48 ,3.56 ,4.17 ,0.76 ,1.10 ,0.53 ,0.37 ,0.28 ,0.00 ,0.28 ,0.11 ,0.52 ,0.44 ,0.63 ,0.70 ,0.56 ,0.30 ,0.10 ,0.00 ,1.74 ,9.71 ,9.56 ,9.35 ,7.97 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.24 ,0.06 ,0.00 ,0.00 ,0.00 ,0.14 ,0.19 ,0.14 ,0.00 ,10.56 ,8.77 
Zm00001d048082,55.47 ,26.43 ,8.98 ,27.91 ,35.80 ,13.16 ,23.42 ,6.42 ,9.07 ,13.56 ,11.02 ,14.41 ,25.20 ,27.09 ,21.03 ,6.73 ,27.35 ,10.01 ,37.14 ,13.22 ,6.76 ,13.12 ,8.14 ,7.90 ,20.37 ,13.08 ,7.24 ,24.10 ,7.60 ,8.71 ,16.18 ,1.09 ,0.31 ,0.15 ,0.00 ,0.00 ,0.00 ,0.00 ,0.21 ,0.00 ,0.35 ,0.12 ,0.00 ,0.00 ,0.00 ,0.12 ,0.22 ,0.67 ,0.34 ,0.99 ,0.25 ,0.54 ,0.82 ,0.48 ,0.15 ,0.52 ,1.30 ,0.00 ,0.00 ,0.91 ,0.17 ,1.54 ,0.00 ,427.35 ,468.75 ,507.58 ,615.74 ,570.76 ,314.27 ,138.80 ,87.27 ,59.01 ,60.23 ,42.10 ,25.66 ,23.55 ,19.14 ,26.80 ,12.67 ,8.32 ,8.11 ,6.32 ,12.96 ,7.20 ,15.70 ,165.47 ,167.46 ,106.10 ,93.01 ,0.00 ,1.64 ,0.19 ,0.00 ,0.14 ,0.18 ,0.28 ,2.85 ,0.11 ,0.00 ,0.00 ,0.51 ,315.40 ,17.65 ,18.35 ,13.63 ,53.88 ,38.75 
